"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2033,"South Korea",10684.6995879778,30927079878.1729,"SDA"
2034,"South Korea",9365.52138500122,27157691184.1112,"SDA"
2035,"South Korea",8109.9881560244,23553023053.0227,"SDA"
2036,"South Korea",6861.17695542323,19951854064.372,"SDA"
2037,"South Korea",5663.53160427282,16486712427.8671,"SDA"
2038,"South Korea",4477.25377830036,13044744012.6151,"SDA"
2039,"South Korea",3331.20776889611,9712448717.50533,"SDA"
2040,"South Korea",2200.74930826605,6420040627.09408,"SDA"
2041,"South Korea",1950.58355974713,5692720598.36342,"SDA"
2042,"South Korea",1703.07187528125,4972046511.12419,"SDA"
2043,"South Korea",1468.40175761391,4288087359.19382,"SDA"
2044,"South Korea",1240.57420048382,3623584907.56328,"SDA"
2045,"South Korea",1016.3496675356,2969252045.40183,"SDA"
2046,"South Korea",801.871299532173,2343143282.66406,"SDA"
2047,"South Korea",591.539497948301,1728944358.6113,"SDA"
2048,"South Korea",389.17408984416,1137805116.60876,"SDA"
2049,"South Korea",191.441073753545,559912474.906848,"SDA"
2050,"South Korea",0.101223265431034,296190.771387246,"SDA"
2020,"USA",54986.29393,1752192721873.12,"SDA"
2021,"USA",51750.0745211138,1679797845502.07,"SDA"
2022,"USA",47591.3874205417,1572923430883.09,"SDA"
2023,"USA",43767.4881649347,1472264569932.35,"SDA"
2024,"USA",40064.0209543786,1371110639122.41,"SDA"
2025,"USA",36474.4820179932,1269480399888.56,"SDA"
2026,"USA",32992.8748294891,1167393306183.19,"SDA"
2027,"USA",29613.5699776773,1064866123799.09,"SDA"
2028,"USA",26331.3626157971,961916262615.058,"SDA"
2029,"USA",23060.9975268671,855577486586.725,"SDA"
2030,"USA",19970.5121865072,752229413535.728,"SDA"
2031,"USA",18088.4451447745,691527331369.603,"SDA"
2032,"USA",16200.896525056,628442746983.884,"SDA"
2033,"USA",14418.5586862839,567339220948.02,"SDA"
2034,"USA",12638.3780789737,504296893548.674,"SDA"
2035,"USA",10944.0839335619,442722749131.441,"SDA"
2036,"USA",9258.86090873803,379624768033.262,"SDA"
2037,"USA",7642.68424379431,317525030324.475,"SDA"
2038,"USA",6041.84761996803,254290814014.038,"SDA"
2039,"USA",4495.30229620265,191622089156.315,"SDA"
2040,"USA",2969.79177424091,128185330005.341,"SDA"
2041,"USA",2632.20265010155,115016473944.139,"SDA"
2042,"USA",2298.19508404668,101639259382.186,"SDA"
2043,"USA",1981.51672198462,88677674842.8535,"SDA"
2044,"USA",1674.07213405958,75795471613.6636,"SDA"
2045,"USA",1371.48968967342,62809762702.1202,"SDA"
2046,"USA",1082.05932268757,50114853264.6877,"SDA"
2047,"USA",798.22458873323,37379953453.1369,"SDA"
2048,"USA",525.140198554146,24860323263.1057,"SDA"
2049,"USA",258.307044492615,12359680152.5508,"SDA"
2050,"USA",0.101223265431034,4894568.05949719,"SDA"
2020,"Australia",63.12419702,130832890.036665,"CRREM"
2021,"Australia",59.09517172,124607402.921837,"CRREM"
2022,"Australia",54.43547815,116747336.573028,"CRREM"
2023,"Australia",49.91679473,108865386.594651,"CRREM"
2024,"Australia",45.57766725,101060435.767887,"CRREM"
2025,"Australia",41.59326064,93745037.7913597,"CRREM"
2026,"Australia",37.49804983,85890077.831785,"CRREM"
2027,"Australia",33.76447455,78581151.8750982,"CRREM"
2028,"Australia",30.23498575,71484120.62326,"CRREM"
2029,"Australia",26.90731339,64614658.8548817,"CRREM"
2030,"Australia",23.67182365,57726457.7441651,"CRREM"
2031,"Australia",20.93712832,51840160.527386,"CRREM"
2032,"Australia",18.26893412,45919160.2007344,"CRREM"
2033,"Australia",15.76774125,40226202.2415361,"CRREM"
2034,"Australia",13.42630378,34760333.1293223,"CRREM"
2035,"Australia",11.24479725,29539136.980666,"CRREM"
2036,"Australia",9.189422998,24489819.0622747,"CRREM"
2037,"Australia",7.294247188,19718006.4684615,"CRREM"
2038,"Australia",5.682142719,15578133.6699468,"CRREM"
2039,"Australia",4.390102096,12204941.7672098,"CRREM"
2040,"Australia",3.354047231,9454238.1337997,"CRREM"
2041,"Australia",2.779294173,7941965.52715625,"CRREM"
2042,"Australia",2.345283154,6793069.50469625,"CRREM"
2043,"Australia",1.964729057,5767574.28962862,"CRREM"
2044,"Australia",1.634043278,4860909.58572455,"CRREM"
2045,"Australia",1.325137198,3994139.23193987,"CRREM"
